id,resturant_name,menu_item,item_description
445,Starbucks,Starbucks® Blonde Vanilla Latte,"Extra-smooth Starbucks® Blonde Espresso, velvety steamed milk and vanilla syrup come together to create a delightful new twist on a beloved espresso classic. An ideal cup for those who prefer a lighter-roasted coffee."
446,Starbucks,Cappuccino,"Dark, rich espresso lies in wait under a smoothed and stretched layer of thick milk foam. An alchemy of barista artistry and craft."
447,Starbucks,Flat White,"Smooth ristretto shots of espresso get the perfect amount of steamed whole milk to create a not-too-strong, not-too-creamy, just-right flavor."
448,Starbucks,Featured Medium Roast Pike Place® Roast,"From our first store in Seattle’s Pike Place Market to our coffeehouses around the world, customers requested a freshly brewed coffee they could enjoy throughout the day. In 2008 our master blenders and roasters created this for you—a smooth, well-rounded blend of Latin American coffees with subtly rich flavors of chocolate and toasted nuts, it’s served fresh every day at a Starbucks® store near you."
449,Starbucks,Cinnamon Dolce Latte,"We add freshly steamed milk and cinnamon dolce-flavored syrup to our classic espresso, topped with sweetened whipped cream and a cinnamon dolce topping to bring you specialness in a treat."
450,Starbucks,Caffè Misto,A one-to-one combination of fresh-brewed coffee and steamed milk add up to one distinctly delicious coffee drink remarkably mixed.
451,Starbucks,Espresso Macchiato,Our rich espresso marked with dollop of steamed milk and foam. A European-style classic.
452,Starbucks,White Chocolate Mocha,"Our signature espresso meets white chocolate sauce and steamed milk, and then is finished off with sweetened whipped cream to create this supreme white chocolate delight."
453,Starbucks,Featured Dark Roast,"This full-bodied dark roast coffee with bold, robust flavors showcases our roasting and blending artistry—an essential blend of balanced and lingering flavors."
454,Starbucks,Caffè Mocha,"Our rich, full-bodied espresso combined with bittersweet mocha sauce and steamed milk, then topped with sweetened whipped cream. The classic coffee drink that always sweetly satisfies."
455,Starbucks,Caramel Brulée Latte,"Our signature espresso, steamed milk and rich caramel brulée sauce finished with whipped cream and a supreme topping of even more caramel brulée bits."
456,Starbucks,Chestnut Praline Latte,"We begin with our signature Espresso Roast and velvety steamed milk, and then add flavors of caramelized chestnuts and spices—all topped with a holiday finale of whipped cream and specially spiced praline crumbs."
457,Starbucks,Sugar Cookie Almondmilk Latte,"Sugar cookie-flavored syrup combined with Starbucks® Blonde Espresso Roast and steamed almondmilk, topped with red and green sprinkles."
458,Starbucks,Gingerbread Latte,"Sweet and delicately spicy gingerbread flavors mingle—with our Starbucks® Blonde Espresso and steamed milk, topped with whipped cream and a pumpkin spice blend—for the perfect holiday touch."
459,Starbucks,Peppermint Mocha,"Our festive all-star Peppermint Mocha brightens the holidays: signature Espresso Roast combines with steamed milk, sweet mocha sauce and peppermint-flavored syrup, topped with whipped cream and dark-chocolate curls."
460,Starbucks,Peppermint White Chocolate Mocha,"Rich espresso meets a trio of white chocolate sauce, peppermint-flavored syrup and steamed milk, topped with sweet whipped cream and dark-chocolate curls—an oh-so-delightfully merry treat."
461,Starbucks,Coffee Traveler - Veranda Blend®,"A convenient carrier filled with 96 fl oz of our brewed Starbucks® Blonde Veranda Blend® (equivalent to 12 8-fl-oz cups), perfect for meetings, picnic gatherings or any occasion that calls for coffee."
462,Starbucks,Coffee Traveler - Dark Roast,A convenient carrier filled with 96 fl oz of brewed Starbucks® Dark Roast coffee.
463,Starbucks,Coffee Traveler - Pike Place® Roast,"A convenient carrier filled with 96 fl oz of our featured brewed medium roast coffee (equivalent of twelve 8 fl oz cups)—a perfect pick-me-up for meetings, picnics or whatever occasion calls for coffee."
464,Starbucks,Chai Tea Latte,"Black tea infused with cinnamon, clove and other warming spices is combined with steamed milk and topped with foam for the perfect balance of sweet and spicy. An iconic chai cup."
465,Starbucks,Matcha Tea Latte,Smooth and creamy matcha sweetened just right and served with steamed milk. This favorite will transport your senses to pure green delight.
466,Starbucks,Gingerbread Oatmilk Chai,"Warm gingerbread notes, a cozy blend of chai spices and creamy oatmilk come together in a tea latte to create a unique, festive, feel-good moment."
467,Starbucks,Hot Chocolate,Steamed milk with chocolate-flavored syrups. Topped with sweetened whipped cream and chocolate-flavored drizzle. A timeless classic made to sweeten your spirits.
468,Starbucks,White Hot Chocolate,"A traditional hot chocolate beverage made with white chocolate sauce and steamed milk, topped with whipped cream."
469,Starbucks,Steamed Apple Juice,Freshly steamed 100% apple juice (not from concentrate). Feel the apple goodness in this classic fruit drink that will soothe and embolden your day.
470,Starbucks,Steamed Milk,"Enjoy a warm cup of skim, 2%, soy, almond or coconutmilk steamed for your sipping pleasure."
471,Starbucks,Vanilla Crème,"A smooth, frothy vanilla-flavored luxury. For those times, when you'd rather not indulge in the rich flavor of our world-famous espresso, but desire a hot, creamy vanilla beverage."
472,Starbucks,Pumpkin Spice Crème,"We combine steamed milk with flavors of pumpkin, cinnamon, nutmeg and clove, then top it all off with whipped cream to create this amazing, coffee-free fall favorite."
473,Starbucks,Caramel Apple Spice,"Steamed apple juice complemented with cinnamon syrup, whipped cream and a caramel sauce drizzle."
474,Starbucks,Peppermint Hot Chocolate,"A big welcome back to our classic holiday hot chocolate—lovingly made with chocolaty mocha sauce, peppermint-flavored syrup and steamed milk and sweetly topped with whipped cream and dark-chocolate curls."
475,Starbucks,Peppermint White Hot Chocolate,"A sweet twist on holiday hot chocolate—white chocolate mocha sauce, peppermint-flavored syrup and steamed milk, topped with whipped cream and dark-chocolate curls."
476,Starbucks,Caramel Brulée Crème,Steamed milk and rich caramel brulée sauce deliciously finished with whipped cream and a caramel brulée topping—an ode to holiday sweetness.
477,Starbucks,Chestnut Praline Crème,Steamed milk and flavors of caramelized chestnuts and spices—topped with whipped cream and spiced praline crumbs—come together for this festive moment.
478,Starbucks,Matcha Crème Frappuccino® Blended Beverage,"This blend of sweetened premium matcha green tea, milk and ice—topped off with sweetened whipped cream—inspires a delicious boost and good green vibes."
479,Starbucks,Mocha Cookie Crumble Frappuccino®,"Frappuccino® Roast coffee, mocha sauce and Frappuccino® chips blended with milk and ice, layered on top of whipped cream and chocolate cookie crumble and topped with vanilla whipped cream, mocha drizzle and even more chocolate cookie crumble. Each sip is as good as the last . . . all the way to the end."
480,Starbucks,Caramel Ribbon Crunch Frappuccino® Blended Beverage,"Buttery caramel syrup blended with coffee, milk and ice, then topped with a layer of dark caramel sauce, whipped cream, caramel drizzle and a crunchy caramel-sugar topping—oh-so-beautifully delicious."
481,Starbucks,Java Chip Frappuccino® Blended Beverage,"We blend mocha sauce and Frappuccino® chips with coffee, milk and ice, then top it off with whipped cream and a mocha drizzle to bring you endless java joy."
482,Starbucks,Pumpkin Spice Crème Frappuccino® Blended Beverage,"Pumpkin blended with traditional fall spice flavors, milk and ice, topped with whipped cream and pumpkin-pie spice. Helllloooooo, fall!"
483,Starbucks,Caramel Frappuccino® Blended Beverage,"Caramel syrup meets coffee, milk and ice for a rendezvous in the blender, while whipped cream and buttery caramel sauce layer the love on top. To change things up, try it affogato-style with a hot espresso shot poured right over the top."
484,Starbucks,Double Chocolaty Chip Crème Frappuccino® Blended Beverage,"Rich mocha-flavored sauce meets up with chocolaty chips, milk and ice for a blender bash. Top it off with sweetened whipped cream and mocha drizzle for a real party in your mouth."
485,Starbucks,Mocha Frappuccino® Blended Beverage,"Mocha sauce, Frappuccino® Roast coffee, milk and ice all come together for a mocha flavor that'll leave you wanting more. To change things up, try it affogato-style with a hot espresso shot poured right over the top."
486,Starbucks,Vanilla Bean Crème Frappuccino® Blended Crème,"This rich and creamy blend of vanilla bean, milk and ice topped with whipped cream takes va-va-vanilla flavor to another level. To change things up, try it affogato-style with a hot espresso shot poured right over the top."
487,Starbucks,Coffee Frappuccino® Blended Beverage,Coffee meets milk and ice in a blender for a rumble-and-tumble togetherness to create one of our most-beloved original Frappuccino® blended beverages.
488,Starbucks,Espresso Frappuccino® Blended Beverage,"Coffee is combined with a shot of espresso and milk, then blended with ice to give you a nice little jolt and lots of sipping joy."
489,Starbucks,Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage,"Buttery caramel syrup is blended with milk and ice, then topped with a layer of dark caramel sauce, whipped cream, caramel drizzle and a crunchy caramel-sugar topping—oh-so-beautifully delicious."
490,Starbucks,Pumpkin Spice Frappuccino® Blended Beverage,"Pumpkin plus traditional fall spice flavors, blended with coffee, milk and ice and topped with whipped cream and pumpkin-pie spice. Think of it as the ultimate fall care package."
491,Starbucks,White Chocolate Mocha Frappuccino® Blended Beverage,"White chocolate Frappuccino® Roast coffee, milk and ice get together for what might be the best thing that happens to you all day. Oh, and there's whipped cream on top."
492,Starbucks,White Chocolate Crème Frappuccino® Blended Beverage,"A smooth blend of white chocolate sauce, milk and ice topped with whipped cream for a remarkable flavor that surprisingly wows."
493,Starbucks,Caffè Vanilla Frappuccino® Blended Beverage,"We take Frappuccino® roast coffee and vanilla bean powder, combine them with milk and ice, topped with whipped cream. Tastes like happiness."
494,Starbucks,Caramel Brulée Frappuccino® Blended Beverage,"Frappuccino® Roast coffee, milk and ice blended with rich caramel brulée sauce, and then topped with whipped cream and our crunchy caramel brulée bits for extra-gooey goodness."
495,Starbucks,Chestnut Praline Frappuccino® Blended Beverage,"A blissful world of deliciousness: festive flavors of caramelized chestnuts and spices blended with Frappuccino® Roast coffee, milk and ice, and topped with whipped cream and spiced praline crumbs."
496,Starbucks,Peppermint Mocha Frappuccino® Blended Beverage,"A delectable blend of chocolaty-pepperminty perfection in every cool sip—Frappuccino® Roast coffee, mocha sauce, peppermint-flavored syrup, milk and ice, topped with whipped cream and dark-chocolate curls."
497,Starbucks,Peppermint White Chocolate Mocha Frappuccino® Blended Beverage,"A delectable blend of white chocolaty-pepperminty perfection in every cool sip—Frappuccino® Roast coffee, white chocolate mocha sauce, peppermint-flavored syrup, milk and ice, topped with whipped cream and dark-chocolate curls."
498,Starbucks,Sugar Cookie Almondmilk Frappuccino® Blended Beverage,"Sugar cookie-flavored syrup combined with Frappuccino® Roast coffee and almondmilk and blended with ice, topped with whipped cream and red and green sprinkles."
499,Starbucks,Caramel Brulée Crème Frappuccino® Blended Beverage,"A combination of rich caramel brulée sauce blended with milk and ice, topped with whipped cream and our crunchy caramel brulée bits for an extra-tasty holi-yay treat."
500,Starbucks,Chestnut Praline Crème Frappuccino® Blended Beverage,"A joyful world of deliciousness: holiday flavors of caramelized chestnuts and spices blended with milk and ice, and topped with whipped cream and spiced praline crumbs."
501,Starbucks,Peppermint Mocha Crème Frappuccino® Blended Beverage,"This all-about-the-flavors sip delivers a delectable blend of chocolaty-pepperminty perfection—milk, ice, mocha sauce and peppermint-flavored syrup swirled together, topped with whipped cream and dark-chocolate curls."
502,Starbucks,Peppermint White Chocolate Crème Frappuccino® Blended Beverage,"This all-about-the-flavors sip delivers a delectable blend of white chocolaty-pepperminty perfection—milk, ice, white chocolate mocha sauce and peppermint-flavored syrup swirled together, topped with whipped cream and dark-chocolate curls."
503,Starbucks,Sugar Cookie Almondmilk Crème Frappuccino® Blended Beverage,"Sugar cookie-flavored syrup combined with almondmilk and blended with ice, topped with whipped cream and red and green sprinkles."
504,Starbucks,Pumpkin Cream Cold Brew,Starbucks® Cold Brew sweetened with vanilla syrup and topped with pumpkin cream cold foam and a dusting of pumpkin-spice topping.
505,Starbucks,Vanilla Sweet Cream Cold Brew,"Just before serving, our slow-steeped custom blend Starbucks® Cold Brew Coffee is topped with a delicate float of house-made vanilla sweet cream that cascades throughout the cup."
506,Starbucks,Iced Shaken Espresso,"Made with the rich, full-bodied espresso you love—then shaken, chilled and mellowed with sweetness and a touch of milk to create a delightfully and deliciously convenient on-the-go drink."
507,Starbucks,Iced Brown Sugar Oatmilk Shaken Espresso,"First we shake Starbucks® Blonde espresso, brown sugar and cinnamon together, and then top it off with oatmilk and ice for a cool lift to power you through your day."
508,Starbucks,Iced Starbucks® Blonde Vanilla Latte,"Seriously smooth and subtly sweet Starbucks® Blonde Espresso, milk, ice and vanilla syrup come together to create a delightful twist on a beloved espresso classic."
509,Starbucks,Starbucks® Cold Brew Coffee,"Handcrafted in small batches daily, slow-steeped in cool water for 20 hours, without touching heat—Starbucks® Cold Brew is made from our custom blend of beans grown to steep long and cold for a super-smooth flavor."
510,Starbucks,Iced Caffè Americano,"Espresso shots topped with cold water produce a light layer of crema, then served over ice. The result: a wonderfully rich cup with depth and nuance. Pro Tip: For an additional boost, ask your barista to try this with an extra shot."
511,Starbucks,Iced Pumpkin Spice Latte,"Our signature espresso and milk—with the celebrated flavor combination of pumpkin, cinnamon, nutmeg and clove—served over ice. Enjoy it topped with whipped cream and real pumpkin-pie spices."
512,Starbucks,Iced Toasted Vanilla Oatmilk Shaken Espresso,Starbucks® Blonde espresso combined with notes of caramelized vanilla shaken together and topped with oatmilk for an energizing treat to boost your day.
513,Starbucks,Iced Caffè Latte,"Our dark, rich espresso combined with milk and served over ice. A perfect milk-forward cooldown."
514,Starbucks,Iced White Chocolate Mocha,"Our signature espresso meets white chocolate sauce, milk and ice, and then is finished off with sweetened whipped cream to create this supreme white chocolate delight."
515,Starbucks,Iced Caramel Macchiato,"We combine our rich, full-bodied espresso with vanilla-flavored syrup, milk and ice, then top it off with a caramel drizzle for an oh-so-sweet finish."
516,Starbucks,Salted Caramel Cream Cold Brew,"Here's a savory-meets-sweet refreshing beverage certain to delight: our signature, super-smooth cold brew, sweetened with a touch of caramel and topped with a salted, rich cold foam."
517,Starbucks,Iced Apple Crisp Oatmilk Shaken Espresso,"Starbucks® Blonde espresso combined with notes of apple, cinnamon and brown sugar shaken together to blend the flavors and topped with oatmilk for a perfectly balanced flavor and energizing fall treat."
518,Starbucks,Iced Coffee,"Freshly brewed Starbucks® Iced Coffee Blend served chilled and sweetened over ice. An absolutely, seriously, refreshingly lift to any day."
519,Starbucks,Chocolate Cream Cold Brew,"Starbucks® Cold Brew sweetened with vanilla syrup and topped with a silky, chocolaty cream cold foam."
520,Starbucks,Iced Cinnamon Dolce Latte,"We add freshly steamed milk and cinnamon dolce-flavored syrup to our classic espresso and ice, topped with sweetened whipped cream and a cinnamon dolce topping to bring you specialness in a treat."
521,Starbucks,Iced Caffè Mocha,"Our rich, full-bodied espresso combined with bittersweet mocha sauce, milk and ice, then topped with sweetened whipped cream. The classic iced coffee drink that always sweetly satisfies."
522,Starbucks,Iced Flat White,"Smooth ristretto shots of espresso get the perfect amount of whole milk and ice to create a not-too-strong, not-too-creamy, just-right flavor."
523,Starbucks,Iced Coffee with Milk,"Freshly brewed Starbucks® Iced Coffee Blend with milk served chilled and sweetened over ice. An absolutely, seriously, refreshingly lift to any day."
524,Starbucks,Starbucks® Cold Brew Coffee with Milk,"Our custom blend of beans are grown to steep long and cold for a super-smooth flavor. Starbucks® Cold brew is handcrafted in small batches daily, slow-steeped in cool water for 20 hours, without touching heat and finished with a splash of milk."
525,Starbucks,Starbucks Reserve® Cold Brew,"Our Starbucks Reserve® Cold Brew—a nuanced, smooth cup of coffee, perfect over ice—is extraordinarily uplifting in a bold form."
526,Starbucks,Iced Caramel Brulée Latte,"Our signature espresso, milk, ice and rich caramel brulée sauce finished with whipped cream and a supreme topping of even more caramel brulée bits."
527,Starbucks,Iced Chestnut Praline Latte,"We begin with our signature Espresso Roast, ice and milk, and then add flavors of caramelized chestnuts and spices—all topped with a holiday finale of whipped cream and specially spiced praline crumbs."
528,Starbucks,Iced Sugar Cookie Almondmilk Latte,"Sugar cookie-flavored syrup combined with Starbucks® Blonde Espresso Roast and almondmilk over ice, topped with red and green sprinkles."
529,Starbucks,Iced Gingerbread Latte,"Sweet and deliciously spicy gingerbread flavors mingle—with our Starbucks® Blonde Espresso and milk, topped with whipped cream, nutmeg and spice blend—for the perfect holiday touch, served over ice."
530,Starbucks,Iced Peppermint Mocha,"Our festive all-star Peppermint Mocha brightens the holidays: signature Espresso Roast combines with milk and ice, sweet mocha sauce and peppermint-flavored syrup, topped with whipped cream and dark-chocolate curls."
531,Starbucks,Iced Peppermint White Chocolate Mocha,"Our signature espresso meets a trio of white chocolate sauce, peppermint-flavored syrup and milk, served over ice and topped with whipped cream and dark-chocolate curls—a sweet, oh-so-delightfully merry treat."
532,Starbucks,Iced Matcha Tea Latte,Smooth and creamy matcha sweetened just right and served with milk over ice. Green has never tasted so good.
533,Starbucks,Iced Pumpkin Cream Chai Tea Latte,"A rich and creamy Iced Chai Tea Latte--a blend of black tea infused with cinnamon, other warming spices and milk, topped with a sweet pumpkin cream cold foam and a dusting of pumpkin spice topping."
534,Starbucks,Iced Chai Tea Latte,"Black tea infused with cinnamon, clove, and other warming spices are combined with milk and ice for the perfect balance of sweet and spicy."
535,Starbucks,Iced Black Tea,Premium black tea sweetened just right and shaken with ice to create an ideal iced tea—a rich and flavorful black tea journey awaits you.
536,Starbucks,Iced Black Tea Lemonade,"Premium black tea sweetened just right, then shaken with refreshing lemonade and ice for this Arnold Palmer-inspired beverage. A distinguished, satisfying treat."
537,Starbucks,Iced Green Tea Lemonade,"Green tea blended with mint, lemongrass, lemon verbena and lemonade, and given a good shake with ice. Lightly flavored and oh-so-refreshing!"
538,Starbucks,Iced Passion Tango® Tea,"A blend of hibiscus, lemongrass and apple hand-shaken with ice: a refreshingly vibrant tea infused with the color of passion"
539,Starbucks,Iced Green Tea,"Green tea blended with mint, lemongrass and lemon verbena, and given a good shake with ice. Lightly flavored and oh-so-refreshing!"
540,Starbucks,Iced Passion Tango® Tea Lemonade,"Our blend of hibiscus, lemongrass and apple hand-shaken with ice, lemonade and, of course, passion."
541,Starbucks,Iced Matcha Lemonade,"Our finely ground Teavana® matcha green tea combined with crisp lemonade, then shaken with ice, creates a refreshingly sweet, delicious drink and a delightfully vibrant, green hue."
542,Starbucks,Brew DR. Island Mango Kombucha,"Tropical treat for any time of year featuring mango, passionfruit and a touch of Peruvian ginger juice. Brewed with sencha green tea."
543,Starbucks,Brew DR. Superberry Kombucha,"A light and fruity kombucha featuring a delightful blend of sweet and tart berries, hibiscus, and oolong tea."
544,Starbucks,Iced Gingerbread Oatmilk Chai,"Warm chai spices, creamy oatmilk and ice, topped with frothy oatmilk infused with gingerbread-flavored syrup and a spice topping to create a unique and festive feel-good moment."
545,Starbucks,Strawberry Açaí Starbucks Refreshers® Beverage,"Sweet strawberry flavors accented by passion fruit and açaí notes, shaken with ice and real strawberry pieces—a welcoming sweet spot of refreshment."
546,Starbucks,Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,"Sweet strawberry flavors, passion fruit and açaí notes balanced with the delightful zing of lemonade, served over ice with freeze-dried strawberry pieces. The ultimate pick-me-up your afternoon is calling for."
547,Starbucks,Pink Drink Starbucks Refreshers® Beverage,"Our crisp Strawberry Açaí Refreshers® beverage—with accents of passion fruit and combined with creamy coconutmilk—evokes a fruity and refreshing sip of spring, no matter what time of year."
548,Starbucks,Ethos® Bottled Water,"For every bottle of Ethos® water you buy, Starbucks will donate 5 cents to support humanitarian programs in coffee-growing communities, providing clean, safe water to those in need."
549,Starbucks,Dragon Drink® Starbucks Refreshers® Beverage,"This tropical-inspired pick-me-up—crafted with sweet mango and dragonfruit flavors and hand-shaken with creamy coconutmilk, ice and a scoop of real diced dragonfruit—creates a refreshing and surprising delight in the fall."
550,Starbucks,Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,"This tropical-inspired pick-me-up—crafted with a clever combination of vibrant lemonade, sweet mango and refreshing dragonfruit flavors and hand-shaken with ice plus a scoop of real diced dragonfruit."
551,Starbucks,Pineapple Passionfruit Lemonade Starbucks Refreshers® Beverage,Tropical flavors of pineapple and passionfruit combine with diced pineapple and refreshing lemonade to create a taste of sunshine in a cup.
552,Starbucks,Cold Milk,"Skim, 2%, soy, almond, or coconutmilk served chilled or over ice. Simply refreshing."
553,Starbucks,Blended Strawberry Lemonade,"Awaken your taste buds with the zing of refreshing lemonade infused with a hint of delicious strawberry flavor and blended with ice. A light, fresh beverage that puts a little zip in your step."
554,Starbucks,Paradise Drink Starbucks Refreshers® Beverage,Tropical flavors of pineapple and passionfruit combine with diced pineapple and creamy coconutmilk to create a delicious island escape.
555,Starbucks,Mango Dragonfruit Starbucks Refreshers® Beverage,A tropical-inspired pick-me-up—crafted with a refreshing combination of sweet mango and dragonfruit flavors and hand-shaken with ice plus a scoop of real diced dragonfruit.
556,Starbucks,Lemonade,"Awaken your taste buds with the zing of refreshing lemonade—this tangy, fresh sip puts a little zip in your step."
557,Starbucks,Pineapple Passionfruit Starbucks Refreshers® Beverage,Tropical flavors of pineapple and passionfruit mix with diced pineapple to create an island escape—oh so refreshing.
558,Starbucks,Horizon® Chocolate Organic Milk,"A single-serve milk box with 32mg of DHA Omega-3! DHA is a valuable nutrient that may help support the brain, heart and eyes."
559,Starbucks,Koia® Cacao Bean Protein Shake,"The creamy taste of ice-cold chocolate milk without the dairy, to satisfy your daily chocolate craving with a protein boost."
560,Starbucks,Koia® Vanilla Bean Protein Shake,"A healthy take on a vanilla milkshake, this protein-packed bottle is satisfyingly sweet and creamy without the excess sugar."
561,Starbucks,"Double-Smoked Bacon, Cheddar & Egg Sandwich","Bacon smoked for six hours over hickory wood chips, stacked with a cage-free fried egg, topped with a melted slice of sharp Cheddar cheese—all on our signature croissant bun. -HIGH-PROTEIN"
562,Starbucks,"Spinach, Feta & Egg White Wrap","Cage-free egg whites are combined with spinach, feta cheese and sun-dried tomato cream cheese inside a whole-wheat wrap. -VEGETARIAN -HIGH-PROTEIN"
563,Starbucks,"Bacon, Sausage & Egg Wrap","Double-smoked bacon, savory pork sausage and cage-free scrambled eggs combined with Cheddar cheese and potatoes—all wrapped in a flour tortilla. - HIGH-PROTEIN"
564,Starbucks,"Sausage, Cheddar & Egg Sandwich","A savory sausage patty, fluffy cage-free eggs and aged Cheddar cheese on a perfectly toasted English muffin. -HIGH-PROTEIN"
565,Starbucks,"Bacon, Gouda & Egg Sandwich","Sizzling applewood-smoked bacon, Parmesan cage-free egg frittata and melted aged Gouda on an artisan roll. -HIGH-PROTEIN"
566,Starbucks,"Turkey Bacon, Cheddar & Egg White Sandwich","Sizzling turkey bacon and cage-free egg whites paired with creamy, melted, reduced-fat white Cheddar cheese on a wheat English muffin. -HIGH-PROTEIN"
567,Starbucks,Impossible™ Breakfast Sandwich,The savory Impossible™ Sausage Made from Plants combined with a cage-free fried egg and aged Cheddar cheese on an artisan sesame ciabatta bun. - VEGETARIAN - HIGH-PROTEIN
568,Starbucks,Egg White & Roasted Red Pepper Egg Bites,"Cage-free egg whites combined with Monterey Jack cheese, spinach and fire-roasted red peppers and cooked using the French ""sous vide"" technique to create a velvety texture that's full of flavor.-VEGETARIAN -HIGH-PROTEIN"
569,Starbucks,Kale & Mushroom Egg Bites,"Chopped kale and portabella mushrooms delicately folded into cage-free eggs with Monterey Jack cheese and cooked using the French ""sous vide"" technique to create a velvety texture that's full of flavor. - VEGETARIAN - HIGH-PROTEIN"
570,Starbucks,Avocado Spread,"Avocadoes mixed with lime, sea salt, garlic and a touch of spice—specially packaged to maintain freshness without the use of heat, additives or preservatives."
571,Starbucks,Chocolate Croissant,"Two generous pieces of chocolate wrapped in a butter croissant with soft, flaky layers and a golden-brown crust. -VEGETARIAN"
572,Starbucks,Butter Croissant,"Classic butter croissant with soft, flaky layers and a golden-brown crust. -VEGETARIAN"
573,Starbucks,Cheese Danish,"Flaky, butter croissant dough with soft, warm cheese in the center. -VEGETARIAN"
574,Starbucks,Plain Bagel,"Classic soft, chewy and thick New York–style bagel. Available with cream cheese or butter. - VEGAN - VEGETARIAN"
575,Starbucks,Birthday Cake Pop,"Bite-sized vanilla cake mixed with vanilla buttercream, dipped in pink chocolaty icing and topped with white sprinkles. -VEGETARIAN"
576,Starbucks,Iced Lemon Loaf,"Citrusy, buttery, moist lemon pound cake topped with a sweet icing.-VEGETARIAN"
577,Starbucks,Blueberry Muffin,"Soft muffin with sweet, juicy blueberries and a hint of lemon, finished with a crunchy sugar topping. -VEGETARIAN"
578,Starbucks,Everything Bagel,"Soft, chewy and thick New York-style bagel topped with onion, garlic, salt, poppy and sesame seeds. Available with cream cheese or butter. -VEGAN -VEGETARIAN"
579,Starbucks,Cookies & Cream Cake Pop,"Chocolate cake blended with creamy, sandwich-cookie buttercream and cookie bits, dipped in white-chocolaty coating and finished with dark-chocolaty cookie crumb.-VEGETARIAN"
580,Starbucks,Glazed Doughnut,Old-fashioned cake doughnut glazed with sweet icing. - VEGETARIAN
581,Starbucks,Double Chocolate Brownie,Rich chocolate brownie with generous chunks of semisweet chocolate.
583,Starbucks,Chocolate Cake Pop,"Bite-sized chocolate cake mixed with chocolate buttercream, dipped in chocolaty icing and topped with white sprinkles. -VEGETARIAN"
584,Starbucks,Banana Walnut & Pecan Loaf,"Bananas, walnuts and pecans mixed into a moist, nutty, classic banana bread. - VEGETARIAN"
585,Starbucks,Cinnamon Coffee Cake,"Buttery, moist, coffee cake swirled with a cinnamon-sugar blend and finished with a crunchy streusel topping. -VEGETARIAN"
586,Starbucks,Marshmallow Dream Bar,"This crispy, chewy marshmallow bar, made of ooey-gooey, soft marshmallows, crispy rice, creates a sweet treat that’ll make you snack like a kid again."
587,Starbucks,Petite Vanilla Bean Scone,"Moist, fluffy, petite scone made with real vanilla beans and vanilla extract.-VEGETARIAN"
588,Starbucks,Chocolate Chip Cookie,"Semisweet chocolate chips mixed in a thick, chewy cookie--soft on the inside and crunchy on the outside. - VEGETARIAN"
589,Starbucks,Blueberry Scone,"Buttermilk scone with blueberries, crème fraîche and a hint of lemon zest. - VEGETARIAN"
590,Starbucks,Avocado Spread,"Avocadoes mixed with lime, sea salt, garlic and a touch of spice—specially packaged to maintain freshness without the use of heat, additives or preservatives."
591,Starbucks,Pumpkin & Pepita Loaf,Gently spiced pumpkin bread topped with crunchy pepitas.- VEGETARIAN
592,Starbucks,Tomato & Mozzarella on Focaccia,"Roasted tomatoes, mozzarella, spinach and basil pesto layered on toasted focaccia bread.-VEGETARIAN-HIGH-PROTEIN"
593,Starbucks,Ham & Swiss on Baguette,Ham and Swiss cheese meld with Dijon butter on a toasted baguette. - HIGH-PROTEIN
594,Starbucks,Crispy Grilled Cheese on Sourdough,"A blend of white Cheddar and mozzarella cheeses on sourdough bread, topped with a Parmesan butter spread. - VEGETARIAN - HIGH-PROTEIN"
595,Starbucks,Avocado Spread,"Avocadoes mixed with lime, sea salt, garlic and a touch of spice—specially packaged to maintain freshness without the use of heat, additives or preservatives."
596,Starbucks,"Turkey, Provolone & Pesto on Ciabatta","Thick-sliced turkey breast, melted provolone cheese, dry-roasted red peppers and basil pesto on a ciabatta roll. -HIGH-PROTEIN"
597,Starbucks,Madeleines,"Made with quality ingredients, these rich and buttery French cakes are soft and moist in the center and baked with lightly crisped edges."
598,Starbucks,String Cheese,As a mess-free car snack or a quick add-on to round out their lunch box—this string cheese is always a fan favorite. Made with low-moisture part-skim mozzarella cheese.- VEGETARIAN
599,Starbucks,Dark Chocolate Covered Espresso Beans,Our espresso coffee beans (the best in the world) get even better when drenched in a layer of luscious dark chocolate.
600,Starbucks,Vanilla Biscotti with Almonds,"These crispy, delicious vanilla cookies topped with crunchy almonds are love at first bite. Perfect for dipping into your favorite coffee or espresso beverage."
601,Starbucks,Perfect Bar® - Dark Chocolate Chip Peanut Butter,"The original peanut butter bar receives an upgrade with a sprinkle of Fair Trade dark chocolate chips and a pinch of sea salt. Plus, protein-packed with 20 organic superfoods, this guilt-free go-to bar satisfies any salty-sweet craving."
602,Starbucks,Avocado Spread,"Avocadoes mixed with lime, sea salt, garlic and a touch of spice—specially packaged to maintain freshness without the use of heat, additives or preservatives."
603,Starbucks,Salted Almond Chocolate Bites,Triple chocolate-covered almonds with gray sea salt: a flavorful nutty-salty experience.
604,Starbucks,Perfect Bar® Peanut Butter,"One bite and you'll taste why this recipe is indeed ""perfect."" Made with ground organic peanut butter and honey, and packed with organic superfoods, this bar is gluten-free, soy-free and truly tasty."
